uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
CSKAR49,Z.P.H.S. Andhaner,1,9,15,2,3,3,1,2,3,3,1,3,3,3,3,3,3,3,4,3,2,2,1,8,7,1,1,1,1,2,2,3,1,2,4,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1
CSKAR50,Z.P.H.S. Andhaner,1,8,14,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,4,3,7,2,8,7,7,8,8,3,1,0,0,3,3,0,4,1,1,1,0,0,1,1,1,1,1,1,1,0,1,,
CSKAR51,Z.P.H.S. Andhaner,2,8,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,6,1,7,7,8,1,3,3,3,3,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
CSKAR52,Z.P.H.S. Andhaner,1,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,2,2,7,7,7,8,8,3,3,3,3,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
CSKAR53,Z.P.H.S. Andhaner,1,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,6,7,7,7,7,5,1,3,1,1,3,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,3,1
CSKAR54,Z.P.H.S. Andhaner,2,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,2,2,1,8,2,8,7,3,3,2,3,3,3,3,,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1
CSKAR55,Z.P.H.S. Andhaner,2,8,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
CSKAR56,Z.P.H.S. Andhaner,1,8,14,1,3,3,1,1,3,1,1,3,3,3,2,1,3,3,,3,2,2,5,2,2,7,8,1,1,2,2,1,2,2,4,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1
CSKAR17,Mahatma Jyotiba Phule Highschool Pishor,1,8,14,1,3,2,3,3,3,3,1,3,1,3,3,3,3,3,4,1,2,2,1,8,2,1,4,3,3,0,1,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
CSKAR18,Mahatma Jyotiba Phule Highschool Pishor,1,8,15,1,3,2,3,3,3,3,3,3,1,3,3,3,3,3,4,1,2,2,1,8,2,1,4,3,3,0,1,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
CSKAR19,Mahatma Jyotiba Phule Highschool Pishor,1,9,14,1,3,3,1,1,3,2,3,3,3,3,3,3,3,3,2,3,2,2,5,4,7,8,1,1,1,0,0,0,0,2,4,1,0,1,0,0,0,1,0,1,1,1,0,0,1,4,1
CSKAR20,Mahatma Jyotiba Phule Highschool Pishor,1,9,14,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,2,2,1,4,8,8,1,3,0,0,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,1,0,0,1,2,1
CSKAR21,Mahatma Jyotiba Phule Highschool Pishor,2,8,13,1,3,2,3,3,3,3,3,3,1,3,2,3,3,3,4,3,6,6,8,4,4,8,8,3,3,2,1,3,3,2,4,1,1,1,0,0,0,1,1,1,1,1,0,1,1,4,1
CSKAR22,Mahatma Jyotiba Phule Highschool Pishor,2,8,13,1,3,2,3,3,3,3,3,3,1,3,3,3,3,2,4,3,6,2,8,8,4,8,8,1,1,2,2,1,1,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,4,1
CSKAR23,Mahatma Jyotiba Phule Highschool Pishor,2,9,15,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,6,6,5,4,6,8,8,3,3,3,3,3,3,2,4,1,1,1,1,1,1,1,0,0,1,1,0,0,1,3,1
CSKAR24,Mahatma Jyotiba Phule Highschool Pishor,2,9,14,1,3,2,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,4,8,4,4,8,8,3,3,0,2,3,0,0,4,0,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1
CSKAR33,Z.P.School Wasadi,2,10,17,1,3,2,1,1,3,3,1,3,2,1,1,3,3,3,4,3,6,2,5,8,7,8,4,1,1,2,2,3,1,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
CSKAR34,Z.P.School Wasadi,2,9,16,1,3,2,1,1,3,3,3,3,2,1,1,1,3,3,4,3,6,6,5,1,6,1,1,1,1,2,2,3,1,2,4,1,1,0,0,1,1,1,1,1,1,1,0,0,1,3,1
CSKAR35,Z.P.School Wasadi,2,8,15,1,3,2,1,1,3,3,1,3,2,1,1,3,3,3,,3,6,6,5,1,7,1,1,1,1,2,2,2,1,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,3,0
CSKAR36,Z.P.School Wasadi,1,9,16,1,3,2,1,1,1,3,1,3,2,1,1,3,3,3,4,3,2,2,5,1,6,1,7,1,3,2,2,3,1,2,4,1,0,1,0,1,1,1,1,1,1,1,0,0,1,4,1
CSKAR37,Z.P.School Wasadi,1,8,15,1,3,2,1,1,1,1,1,1,2,1,1,1,3,3,4,3,2,2,5,1,2,1,5,1,1,2,2,2,1,2,4,1,0,1,0,1,1,1,1,1,1,1,0,0,1,3,1
CSKAR38,Z.P.School Wasadi,2,7,14,1,3,2,1,1,3,2,1,1,2,1,1,1,3,3,4,3,6,2,1,1,6,1,1,1,1,2,2,2,1,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,3,1
CSKAR39,Z.P.School Wasadi,1,10,16,1,3,2,1,1,1,3,3,3,2,1,1,1,3,3,4,3,2,2,5,8,6,1,5,1,1,2,2,2,1,2,4,1,0,1,0,1,1,1,1,1,1,1,0,0,1,3,1
CSKAR40,Z.P.School Wasadi,1,7,14,1,3,2,1,1,3,3,1,3,2,1,1,1,3,3,2,3,2,2,5,1,2,1,1,1,1,2,2,2,1,2,4,1,0,1,0,1,1,1,1,1,1,1,0,0,1,3,1
CSKAR25,Z.P.School Chikalthan,1,9,14,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,2,2,1,8,8,8,8,3,3,3,3,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
CSKAR26,Z.P.School Chikalthan,2,9,14,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,8,8,2,8,8,1,2,0,1,2,0,0,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
CSKAR27,Z.P.School Chikalthan,1,9,14,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,8,8,8,8,8,3,3,0,3,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
CSKAR28,Z.P.School Chikalthan,1,8,13,1,3,3,3,3,3,3,3,2,1,2,2,2,2,1,2,2,2,2,8,1,2,1,0,1,1,2,1,1,1,2,4,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
CSKAR29,Z.P.School Chikalthan,1,8,13,1,1,0,2,0,1,0,0,2,1,2,2,2,2,0,2,2,2,2,1,0,8,2,0,1,1,2,1,1,1,0,4,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
CSKAR30,Z.P.School Chikalthan,2,9,14,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,7,3,8,8,8,2,1,2,1,1,3,3,3,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CSKAR31,Z.P.School Chikalthan,2,8,13,1,1,1,2,0,1,2,1,3,3,3,3,3,3,3,2,2,2,2,1,8,8,8,8,1,1,2,1,1,1,0,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
CSKAR32,Z.P.School Chikalthan,2,8,13,1,1,2,1,0,2,0,0,2,1,3,3,3,0,0,2,2,2,2,8,8,0,0,0,1,1,2,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
CSKAR41,Z.P.H.S. Nagad,2,9,15,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR42,Z.P.H.S. Nagad,2,9,15,1,1,2,0,0,0,0,0,2,2,3,0,0,0,0,4,4,2,2,1,1,2,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR43,Z.P.H.S. Nagad,1,8,14,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,4,4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR44,Z.P.H.S. Nagad,1,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,2,2,7,4,4,4,4,3,3,0,3,0,3,0,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4,1
CSKAR45,Z.P.H.S. Nagad,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,0,0,3,3,0,4,1,1,1,1,1,1,1,0,1,1,0,1,0,1,4,1
CSKAR46,Z.P.H.S. Nagad,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,4,4,4,4,4,4,4,3,3,0,0,3,3,0,4,1,1,1,1,1,1,1,0,1,1,1,1,0,1,4,1
CSKAR47,Z.P.H.S. Nagad,1,9,15,1,1,1,3,3,3,0,0,2,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR48,Z.P.H.S. Nagad,1,9,15,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR01,Z.P.H.S. Nachanvel,1,8,13,1,3,2,1,1,3,3,1,3,3,3,3,3,3,3,1,1,2,2,1,1,7,1,1,1,1,1,2,1,1,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
CSKAR02,Z.P.H.S. Nachanvel,2,8,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,4,4,4,8,7,3,3,2,3,1,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
CSKAR03,Z.P.H.S. Nachanvel,1,8,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,4,2,5,8,2,8,5,3,3,0,3,3,0,0,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
CSKAR04,Z.P.H.S. Nachanvel,2,8,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,7,7,4,4,4,8,4,3,3,0,2,1,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
CSKAR05,Z.P.H.S. Nachanvel,2,9,15,1,3,3,3,3,3,3,3,2,2,1,2,1,2,1,,3,1,6,1,1,0,1,1,2,3,2,2,3,3,2,4,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1
CSKAR06,Z.P.H.S. Nachanvel,2,9,16,1,3,2,3,3,3,3,3,3,2,1,3,3,3,1,,3,2,2,1,8,2,1,5,2,3,2,2,3,3,2,4,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1
CSKAR07,Z.P.H.S. Nachanvel,1,9,15,0,3,3,3,0,3,3,0,3,3,3,0,3,3,3,,4,2,2,5,8,2,1,8,3,1,3,2,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
CSKAR08,Z.P.H.S. Nachanvel,1,9,15,1,3,2,3,3,3,2,3,3,2,3,3,2,3,3,4,1,2,2,5,8,6,1,5,3,1,2,2,3,3,2,4,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1
CSKAR57,Samta Kanya Vidyalay,2,8,13,1,2,2,2,0,2,0,0,2,0,2,0,2,2,0,,3,6,2,2,3,6,0,1,2,2,1,2,2,2,2,2,1,0,1,0,0,1,0,1,1,1,1,1,1,1,2,1
CSKAR58,Samta Kanya Vidyalay,1,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,2,7,1,4,2,7,4,3,3,0,3,3,3,0,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1
CSKAR59,Samta Kanya Vidyalay,1,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,7,7,4,8,8,3,3,0,3,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1
CSKAR61,Samta Kanya Vidyalay,2,9,15,1,3,2,3,3,3,2,3,3,2,3,3,1,3,3,4,,6,6,5,4,4,8,4,3,1,0,0,0,0,0,4,1,1,1,0,0,1,1,1,1,0,1,0,0,1,2,1
CSKAR62,Samta Kanya Vidyalay,1,9,15,1,3,2,3,3,3,3,1,1,2,1,3,3,3,1,4,3,7,2,5,7,4,7,8,3,1,0,1,3,3,2,4,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1
CSKAR63,Samta Kanya Vidyalay,1,9,16,0,3,3,3,3,3,1,3,3,2,1,3,2,3,3,4,4,4,4,4,1,7,1,1,3,1,3,0,3,1,2,4,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
CSKAR64,Samta Kanya Vidyalay,2,9,15,1,3,2,3,3,3,2,3,3,2,3,3,3,3,3,4,3,6,6,5,4,4,8,4,3,1,0,0,0,0,0,4,1,1,1,0,0,1,1,1,1,0,1,0,0,1,2,1
CSKAR09,Z.P.School Belkheda,1,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1
CSKAR10,Z.P.School Belkheda,2,9,15,1,3,3,0,0,0,0,0,0,2,1,0,1,0,0,,,2,2,0,1,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR11,Z.P.School Belkheda,2,9,15,1,1,0,1,0,1,0,0,2,2,2,1,1,1,1,7,1,6,6,1,1,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
CSKAR12,Z.P.School Belkheda,1,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,1,1,1,2,2,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR13,Z.P.School Belkheda,1,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,1,0,2,7,1,1,2,2,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR14,Z.P.School Belkheda,1,8,14,1,1,1,3,2,2,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,0,0,3,3,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
CSKAR15,Z.P.School Belkheda,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,0,0,3,3,0,4,1,0,1,1,1,1,1,1,1,0,0,0,0,1,4,1
CSKAR16,Z.P.School Belkheda,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
CSVAR01,New Highschool Vaijapur,1,9,14,1,3,0,3,3,3,3,3,3,2,1,3,3,3,3,2,3,6,7,7,4,4,8,7,3,1,2,2,1,1,3,4,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1
CSVAR02,New Highschool Vaijapur,1,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,2,7,4,4,8,8,3,1,2,2,3,3,2,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
CSVAR03,New Highschool Vaijapur,1,8,14,1,3,3,1,3,1,1,3,3,3,3,3,3,3,1,6,3,7,8,4,7,8,8,7,3,2,1,0,3,0,3,4,1,0,1,0,1,0,1,0,1,1,1,0,0,1,4,4
CSVAR04,New Highschool Vaijapur,2,9,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,,7,2,8,8,2,8,8,3,1,2,1,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1
CSVAR05,New Highschool Vaijapur,2,8,13,1,3,0,3,0,3,3,3,2,0,0,0,0,1,0,2,2,2,2,1,1,5,2,1,2,1,0,0,2,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1
CSVAR06,New Highschool Vaijapur,2,8,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,6,1,7,5,6,1,1,2,2,1,3,2,1,2,4,1,1,1,0,0,0,1,1,0,0,1,0,1,1,2,1
CSVAR07,New Highschool Vaijapur,1,8,13,1,3,3,3,3,1,1,2,3,3,3,3,3,3,1,6,3,7,2,4,7,8,8,7,3,1,0,0,3,1,0,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,4,1
CSVAR08,New Highschool Vaijapur,2,9,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,2,2,8,8,8,4,4,2,2,2,1,2,3,2,4,1,0,1,0,1,1,0,1,1,1,1,1,1,1,4,1
CSVAR17,Kailas Patil Madhyamik Vidyalay Vaijapur,2,8,13,1,3,3,3,3,3,3,3,3,2,3,1,1,3,3,4,3,6,2,1,4,6,8,8,3,1,0,2,2,2,2,4,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1
CSVAR18,Kailas Patil Madhyamik Vidyalay Vaijapur,2,8,13,1,3,1,3,3,3,3,3,3,2,1,3,3,3,3,,3,6,6,1,1,6,1,1,3,1,2,1,2,3,2,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,4,1
CSVAR19,Kailas Patil Madhyamik Vidyalay Vaijapur,1,8,13,1,3,0,3,1,3,0,1,3,2,1,1,2,3,3,4,1,2,2,5,5,2,1,1,3,1,0,0,0,3,2,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,4,1
CSVAR20,Kailas Patil Madhyamik Vidyalay Vaijapur,2,9,13,1,3,3,3,3,3,1,3,3,3,3,3,3,3,2,4,1,2,2,1,8,7,1,1,3,1,2,2,0,3,2,4,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
CSVAR21,Kailas Patil Madhyamik Vidyalay Vaijapur,1,9,15,1,3,0,3,0,3,0,0,1,2,1,3,3,3,3,4,3,2,2,5,8,2,8,1,3,1,2,2,1,3,2,4,1,1,1,0,1,1,1,0,0,1,1,0,0,1,4,1
CSVAR22,Kailas Patil Madhyamik Vidyalay Vaijapur,1,9,14,1,3,2,3,3,3,1,3,3,2,3,3,1,3,3,2,3,2,2,1,8,7,8,1,1,1,2,2,3,1,2,4,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
CSVAR23,Kailas Patil Madhyamik Vidyalay Vaijapur,2,9,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,6,1,8,7,1,1,1,1,2,2,0,3,2,4,1,1,1,0,0,1,1,0,0,0,0,0,0,1,4,1
CSVAR24,Kailas Patil Madhyamik Vidyalay Vaijapur,1,8,14,1,3,3,3,3,3,1,1,1,2,1,3,1,2,1,2,3,2,2,5,5,4,1,1,1,1,2,2,2,2,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,1
CSVAR25,Sant Bahinabai Kanya Vidyalay Shivoor,1,9,15,1,1,0,0,3,0,3,0,2,1,0,3,0,3,3,,3,2,2,5,5,2,8,4,3,1,0,0,3,3,2,4,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1
CSVAR26,Sant Bahinabai Kanya Vidyalay Shivoor,1,8,15,1,1,0,0,1,0,0,0,2,0,0,2,2,3,1,1,1,2,2,5,5,2,5,4,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,1,1,1,0,1,4,2
CSVAR27,Sant Bahinabai Kanya Vidyalay Shivoor,1,8,13,1,3,0,0,3,3,0,0,3,3,3,1,3,3,3,1,3,2,2,5,2,2,1,4,0,3,0,3,0,3,0,4,1,1,1,0,0,0,1,1,0,0,1,0,0,1,2,1
CSVAR28,Sant Bahinabai Kanya Vidyalay Shivoor,2,8,14,1,3,2,3,1,3,3,1,3,3,3,3,3,3,3,4,3,6,6,5,8,4,8,1,3,1,2,2,2,1,2,4,1,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
CSVAR29,Sant Bahinabai Kanya Vidyalay Shivoor,2,8,14,1,3,2,3,1,3,3,1,3,3,3,3,3,3,1,,3,6,6,5,8,4,8,1,1,1,2,2,2,1,2,4,1,1,1,0,0,0,1,0,0,0,1,0,0,1,2,1
CSVAR30,Sant Bahinabai Kanya Vidyalay Shivoor,1,9,14,1,2,2,3,3,3,2,1,3,2,3,3,3,3,3,4,3,6,2,1,8,2,1,8,3,1,2,2,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,4,1
CSVAR31,Sant Bahinabai Kanya Vidyalay Shivoor,2,9,15,1,3,3,3,3,3,1,3,1,2,1,0,1,3,1,4,3,2,2,1,1,2,1,1,0,2,0,2,0,0,2,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,3,1
CSVAR32,Sant Bahinabai Kanya Vidyalay Shivoor,1,9,15,1,1,2,1,3,1,0,0,1,2,1,1,1,1,1,6,3,2,2,5,7,2,8,4,3,3,0,0,0,0,0,,1,1,1,0,0,1,0,0,0,0,0,0,1,1,4,1
CSVAR33,Raje Sambhaji Madhyamik Vidyalay,2,8,14,0,3,3,3,3,3,3,1,3,3,3,3,3,3,3,4,3,6,6,4,1,6,7,4,2,1,2,2,3,1,1,4,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
CSVAR34,Raje Sambhaji Madhyamik Vidyalay,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,6,4,7,6,0,0,2,1,2,2,3,1,1,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,2
CSVAR35,Raje Sambhaji Madhyamik Vidyalay,2,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,6,7,1,2,7,7,3,3,2,3,3,3,2,4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
CSVAR36,Raje Sambhaji Madhyamik Vidyalay,1,8,14,1,2,0,1,1,1,0,0,1,3,1,1,1,1,1,4,4,2,2,1,1,1,2,2,1,1,2,2,1,2,2,4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
CSVAR37,Raje Sambhaji Madhyamik Vidyalay,1,8,14,1,2,0,1,1,1,0,0,1,2,1,1,1,1,1,4,4,2,2,1,2,2,1,1,1,1,2,2,1,2,2,4,1,0,1,0,0,0,1,1,1,1,1,1,1,1,3,1
CSVAR38,Raje Sambhaji Madhyamik Vidyalay,1,9,14,1,1,1,1,1,1,3,0,1,2,1,1,1,1,3,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,4,1,1,1,0,1,1,1,0,0,0,0,0,0,1,3,1
CSVAR39,Raje Sambhaji Madhyamik Vidyalay,1,9,14,1,1,1,1,0,1,0,0,1,0,1,1,1,1,3,1,3,2,7,1,0,8,1,0,1,1,2,1,1,1,1,4,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1
CSVAR40,Raje Sambhaji Madhyamik Vidyalay,2,9,14,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,6,4,7,4,7,4,2,1,2,2,2,1,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
CSVAR41,St. Joseph Highschool ,1,8,13,1,3,0,0,0,3,0,0,3,0,3,0,3,3,3,1,1,2,2,1,8,2,1,4,0,3,0,0,0,3,0,4,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1
CSVAR42,St. Joseph Highschool ,1,8,13,1,3,0,3,3,3,1,3,3,3,3,3,3,3,3,4,1,6,2,1,8,4,8,8,3,3,0,0,3,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
CSVAR43,St. Joseph Highschool ,2,8,12,1,2,0,3,3,3,3,3,3,2,3,3,3,3,1,4,3,6,6,1,4,4,8,8,1,3,0,0,3,3,2,4,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
CSVAR44,St. Joseph Highschool ,2,8,13,1,3,0,3,0,3,0,3,3,3,1,1,3,3,3,,,8,6,1,1,6,1,1,0,1,0,0,0,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
CSVAR45,St. Joseph Highschool ,2,9,15,1,3,2,3,3,3,2,3,3,2,3,3,3,3,3,4,4,6,6,1,1,6,4,8,3,3,2,2,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
CSVAR46,St. Joseph Highschool ,2,9,14,1,3,2,3,3,3,2,3,3,3,3,3,1,3,3,4,4,6,6,7,4,6,8,8,3,0,0,0,0,0,0,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,3,1
CSVAR47,St. Joseph Highschool ,1,9,14,1,1,1,3,0,0,3,0,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,3,0,1,0,2,0,0,0,,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
CSVAR48,St. Joseph Highschool ,1,9,15,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,1,2,2,1,1,2,1,3,0,1,0,2,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
CSKHR01,Shree Ganesh Vidyalay Devgaon (Ra),2,9,14,1,3,2,3,1,3,3,1,3,2,1,3,3,3,3,6,2,6,6,1,4,6,8,1,1,1,1,2,1,3,3,4,1,1,1,0,0,1,0,1,1,1,0,1,1,1,4,2
CSKHR02,Shree Ganesh Vidyalay Devgaon (Ra),2,9,15,0,3,2,3,3,3,3,3,3,1,3,3,3,3,3,4,3,6,6,1,4,6,8,1,3,3,0,0,3,0,0,,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
CSKHR03,Shree Ganesh Vidyalay Devgaon (Ra),2,9,15,1,3,2,3,3,3,2,1,3,2,1,3,2,3,3,2,1,6,2,1,2,6,8,1,3,1,2,2,3,1,2,4,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
CSKHR04,Shree Ganesh Vidyalay Devgaon (Ra),2,8,14,1,3,2,1,3,3,2,3,3,2,3,3,3,3,3,,,6,6,1,1,6,8,1,3,3,0,0,3,3,0,4,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1
CSKHR05,Shree Ganesh Vidyalay Devgaon (Ra),2,8,13,1,3,2,1,3,3,2,3,3,2,3,3,3,3,3,,3,6,6,1,8,6,8,1,3,3,0,3,0,3,0,4,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1
